3.299998 	 2.496292 	 2.497639 	 2.496642 	 -0.001347 	 -0.000351
3.349998 	 2.496644 	 2.497875 	 2.496962 	 -0.001230 	 -0.000317
3.399998 	 2.496964 	 2.498087 	 2.497251 	 -0.001123 	 -0.000287
3.449998 	 2.497253 	 2.498279 	 2.497513 	 -0.001026 	 -0.000260
3.499998 	 2.497514 	 2.498451 	 2.497749 	 -0.000937 	 -0.000235
3.549998 	 2.497751 	 2.498606 	 2.497963 	 -0.000855 	 -0.000213
3.599998 	 2.497965 	 2.498745 	 2.498157 	 -0.000780 	 -0.000192
3.649998 	 2.498158 	 2.498871 	 2.498333 	 -0.000712 	 -0.000174
3.699998 	 2.498334 	 2.498984 	 2.498491 	 -0.000650 	 -0.000158
3.749998 	 2.498492 	 2.499085 	 2.498635 	 -0.000593 	 -0.000143
3.799998 	 2.498636 	 2.499177 	 2.498765 	 -0.000541 	 -0.000129
3.849998 	 2.498766 	 2.499259 	 2.498882 	 -0.000493 	 -0.000117
3.899997 	 2.498883 	 2.499333 	 2.498989 	 -0.000450 	 -0.000106
3.949997 	 2.498989 	 2.499400 	 2.499085 	 -0.000411 	 -0.000096
3.999997 	 2.499085 	 2.499460 	 2.499172 	 -0.000375 	 -0.000087
4.049997 	 2.499172 	 2.499514 	 2.499251 	 -0.000342 	 -0.000078
4.099998 	 2.499251 	 2.499563 	 2.499322 	 -0.000311 	 -0.000071
4.149998 	 2.499323 	 2.499606 	 2.499387 	 -0.000284 	 -0.000064
4.199998 	 2.499387 	 2.499646 	 2.499445 	 -0.000259 	 -0.000058
4.249998 	 2.499445 	 2.499681 	 2.499498 	 -0.000236 	 -0.000052
4.299998 	 2.499498 	 2.499713 	 2.499546 	 -0.000215 	 -0.000047
4.349998 	 2.499546 	 2.499742 	 2.499589 	 -0.000196 	 -0.000043
4.399999 	 2.499589 	 2.499768 	 2.499628 	 -0.000178 	 -0.000039
4.449999 	 2.499628 	 2.499791 	 2.499663 	 -0.000162 	 -0.000035
4.499999 	 2.499664 	 2.499812 	 2.499695 	 -0.000148 	 -0.000032
4.549999 	 2.499696 	 2.499830 	 2.499724 	 -0.000135 	 -0.000029
4.599999 	 2.499725 	 2.499847 	 2.499751 	 -0.000123 	 -0.000026
4.650000 	 2.499751 	 2.499863 	 2.499774 	 -0.000112 	 -0.000024
4.700000 	 2.499774 	 2.499876 	 2.499796 	 -0.000102 	 -0.000021
4.750000 	 2.499796 	 2.499889 	 2.499815 	 -0.000093 	 -0.000019
4.800000 	 2.499815 	 2.499900 	 2.499833 	 -0.000085 	 -0.000017
4.850000 	 2.499833 	 2.499910 	 2.499849 	 -0.000077 	 -0.000016
4.900001 	 2.499849 	 2.499919 	 2.499863 	 -0.000070 	 -0.000014
4.950001 	 2.499863 	 2.499927 	 2.499876 	 -0.000064 	 -0.000013
5.000001 	 2.499876 	 2.499935 	 2.499888 	 -0.000058 	 -0.000012
