0.000000 	 -70.000000 	 -70.000000 	 -20.000000 	 -20.000000 	 0.000000 	 0.000000
1.000000 	 -64.000000 	 -64.370003 	 -19.928000 	 -19.957500 	 0.000000 	 0.000000
2.000000 	 -60.231998 	 -60.531677 	 -19.849184 	 -19.908276 	 0.000000 	 0.000000
3.000000 	 -56.427063 	 -56.534416 	 -19.763546 	 -19.854108 	 0.000000 	 0.000000
4.000000 	 -51.438293 	 -50.952610 	 -19.668787 	 -19.794375 	 0.000000 	 0.000000
5.000000 	 -43.125053 	 -40.198174 	 -19.558350 	 -19.726013 	 0.000000 	 0.000000
6.000000 	 -24.801161 	 -6.255952 	 -19.412368 	 -19.638232 	 0.000000 	 0.000000
7.000000 	 -65.000000 	 -65.000000 	 -11.412368 	 -11.638232 	 0.000000 	 0.000000
8.000000 	 -69.587631 	 -69.087273 	 -11.437420 	 -11.648711 	 0.000000 	 0.000000
9.000000 	 -72.390831 	 -71.642830 	 -11.467828 	 -11.664010 	 0.000000 	 0.000000
10.000000 	 -73.259865 	 -72.718987 	 -11.499669 	 -11.682025 	 0.000000 	 0.000000
11.000000 	 -73.379211 	 -73.050812 	 -11.531431 	 -11.701049 	 0.000000 	 30.000000
12.000000 	 -43.363491 	 -41.387329 	 -11.502843 	 -11.710286 	 0.000000 	 30.000000
13.000000 	 -3.462410 	 26.576828 	 -11.394740 	 -11.672831 	 0.000000 	 30.000000
14.000000 	 -65.000000 	 -65.000000 	 -3.394740 	 -3.672831 	 0.000000 	 30.000000
15.000000 	 -47.605263 	 -45.818523 	 -3.456003 	 -3.727516 	 0.000000 	 30.000000
16.000000 	 -21.525131 	 -5.381749 	 -3.464493 	 -3.753638 	 0.000000 	 30.000000
17.000000 	 -65.000000 	 -65.000000 	 4.535507 	 4.246362 	 0.000000 	 30.000000
18.000000 	 -55.535507 	 -54.908516 	 4.379081 	 4.139882 	 0.000000 	 30.000000
19.000000 	 -44.224422 	 -40.815399 	 4.246841 	 4.047106 	 0.000000 	 30.000000
20.000000 	 -21.361395 	 1.379746 	 4.161650 	 3.977897 	 0.000000 	 30.000000
21.000000 	 -65.000000 	 -65.000000 	 12.161650 	 11.977897 	 0.000000 	 30.000000
22.000000 	 -63.161652 	 -62.976414 	 11.913710 	 11.822867 	 0.000000 	 30.000000
23.000000 	 -61.307850 	 -60.986813 	 11.671957 	 11.671069 	 0.000000 	 30.000000
24.000000 	 -59.172958 	 -58.701313 	 11.436892 	 11.522562 	 0.000000 	 30.000000
25.000000 	 -56.417084 	 -55.663410 	 11.209689 	 11.377819 	 0.000000 	 30.000000
26.000000 	 -52.396698 	 -50.877552 	 10.992798 	 11.237983 	 0.000000 	 30.000000
27.000000 	 -45.556427 	 -41.282322 	 10.791758 	 11.105864 	 0.000000 	 30.000000
28.000000 	 -31.114798 	 -11.912605 	 10.621610 	 10.990237 	 0.000000 	 30.000000
29.000000 	 11.414827 	 -65.000000 	 10.538224 	 18.990237 	 0.000000 	 30.000000
30.000000 	 -65.000000 	 -69.604561 	 18.538224 	 18.792895 	 0.000000 	 30.000000
31.000000 	 -69.538223 	 -72.226532 	 18.213765 	 18.592176 	 0.000000 	 30.000000
32.000000 	 -72.020523 	 -73.084763 	 17.887587 	 18.390316 	 0.000000 	 30.000000
33.000000 	 -72.532494 	 -73.165993 	 17.563646 	 18.188923 	 0.000000 	 30.000000
34.000000 	 -72.320099 	 -73.015465 	 17.243369 	 17.988648 	 0.000000 	 30.000000
35.000000 	 -71.956093 	 -72.802414 	 16.927023 	 17.789678 	 0.000000 	 30.000000
36.000000 	 -71.556412 	 -72.570587 	 16.614640 	 17.592060 	 0.000000 	 30.000000
37.000000 	 -71.140305 	 -72.330978 	 16.306213 	 17.395805 	 0.000000 	 30.000000
38.000000 	 -70.710320 	 -72.086288 	 16.001730 	 17.200916 	 0.000000 	 30.000000
39.000000 	 -70.265678 	 -71.837044 	 15.701182 	 17.007392 	 0.000000 	 30.000000
40.000000 	 -69.804626 	 -71.583191 	 15.404561 	 16.815233 	 0.000000 	 30.000000
41.000000 	 -69.324883 	 -71.324448 	 15.111865 	 16.624437 	 0.000000 	 30.000000
42.000000 	 -68.823586 	 -71.060471 	 14.823099 	 16.435006 	 0.000000 	 30.000000
43.000000 	 -68.297173 	 -70.790833 	 14.538274 	 16.246939 	 0.000000 	 30.000000
44.000000 	 -67.741158 	 -70.515076 	 14.257409 	 16.060237 	 0.000000 	 30.000000
45.000000 	 -67.149780 	 -70.232658 	 13.980535 	 15.874902 	 0.000000 	 30.000000
46.000000 	 -66.515495 	 -69.942970 	 13.707699 	 15.690934 	 0.000000 	 30.000000
47.000000 	 -65.828224 	 -69.645309 	 13.438966 	 15.508338 	 0.000000 	 30.000000
48.000000 	 -65.074104 	 -69.338875 	 13.174428 	 15.327117 	 0.000000 	 30.000000
49.000000 	 -64.233490 	 -69.022728 	 12.914217 	 15.147275 	 0.000000 	 30.000000
50.000000 	 -63.277508 	 -68.695778 	 12.658519 	 14.968817 	 0.000000 	 30.000000
51.000000 	 -62.161846 	 -68.356735 	 12.407610 	 14.791750 	 0.000000 	 30.000000
52.000000 	 -60.814884 	 -68.004059 	 12.161905 	 14.616083 	 0.000000 	 30.000000
53.000000 	 -59.113205 	 -67.635902 	 11.922059 	 14.441826 	 0.000000 	 30.000000
54.000000 	 -56.826450 	 -67.250008 	 11.689186 	 14.268991 	 0.000000 	 30.000000
55.000000 	 -53.478069 	 -66.843605 	 11.465338 	 14.097593 	 0.000000 	 30.000000
