0	-0.000000
1	-0.000001
2	-0.000001
3	-0.000002
4	-0.000004
5	-0.000006
6	-0.000010
7	-0.000016
8	-0.000026
9	-0.000041
10	-0.000065
11	-0.000101
12	-0.000156
13	-0.000238
14	-0.000361
15	-0.000541
16	-0.000802
17	-0.001179
18	-0.001715
19	-0.002469
20	-0.003518
21	-0.004962
22	-0.006927
23	-0.009570
24	-0.013080
25	-0.017685
26	-0.023651
27	-0.031274
28	-0.040881
29	-0.052811
30	-0.067395
31	-0.084937
32	-0.105672
33	-0.129741
34	-0.157146
35	-0.187728
36	-0.221143
37	-0.256869
38	-0.294217
39	-0.332376
40	-0.370444
41	-0.407425
42	-0.442070
43	-0.472329
44	-0.494081
45	-0.498958
46	-0.472348
47	-0.395869
48	-0.260272
49	-0.082884
50	0.096543
51	0.245158
52	0.352531
53	0.422124
54	0.460576
55	0.472816
56	0.460576
57	0.422124
58	0.352531
59	0.245158
60	0.096543
61	-0.082884
62	-0.260272
63	-0.395869
64	-0.472348
65	-0.498958
66	-0.494081
67	-0.472329
68	-0.442070
69	-0.407425
70	-0.370444
71	-0.332376
72	-0.294217
73	-0.256869
74	-0.221143
75	-0.187728
76	-0.157146
77	-0.129741
78	-0.105672
79	-0.084937
80	-0.067395
81	-0.052811
82	-0.040881
83	-0.031274
84	-0.023651
85	-0.017685
86	-0.013080
87	-0.009570
88	-0.006927
89	-0.004962
90	-0.003518
91	-0.002469
92	-0.001715
93	-0.001179
94	-0.000802
95	-0.000541
96	-0.000361
97	-0.000238
98	-0.000156
99	-0.000101
