         0       -0.897209
       100       -4.618753
       200       -5.138478
       300       -5.443200
       400       -5.660379
       500       -5.831106
       600       -5.973972
       700       -6.098485
       800       -6.209833
       900       -6.311021
      1000       -6.403921
      1100       -6.489792
      1200       -6.569547
      1300       -6.643900
      1400       -6.713442
      1500       -6.778680
      1600       -6.840063
      1700       -6.897995
      1800       -6.952838
      1900       -7.004921
      2000       -7.054539
