0.000000 	 0.000000
0.050000 	 0.250000
0.100000 	 0.487500
0.150000 	 0.713125
0.200000 	 0.927469
0.250000 	 1.131095
0.300000 	 1.324540
0.350000 	 1.508313
0.400000 	 1.682898
0.450000 	 1.848753
0.500000 	 2.006315
0.550000 	 2.155999
0.600000 	 2.298199
0.650000 	 2.433290
0.700000 	 2.561625
0.750000 	 2.683544
0.800000 	 2.799366
0.850000 	 2.909398
0.900000 	 3.013928
0.950000 	 3.113232
1.000000 	 3.207570
1.050000 	 3.297192
1.100000 	 3.382332
1.150000 	 3.463216
1.200000 	 3.540055
1.250000 	 3.613052
1.300000 	 3.682400
1.350000 	 3.748280
1.400000 	 3.810866
1.450000 	 3.870322
1.500000 	 3.926806
1.550000 	 3.980466
1.600000 	 4.031443
1.649999 	 4.079871
1.699999 	 4.125877
1.749999 	 4.169583
1.799999 	 4.211104
1.849999 	 4.250549
1.899999 	 4.288022
1.949999 	 4.323621
1.999999 	 4.357440
2.049999 	 4.389568
2.099999 	 4.420089
2.149999 	 4.449085
2.199999 	 4.476631
2.249999 	 4.502799
2.299999 	 4.527659
2.349999 	 4.551276
2.399999 	 4.573712
2.449999 	 4.595027
2.499999 	 4.615275
2.549999 	 4.634511
2.599999 	 4.652786
2.649999 	 4.670146
2.699999 	 4.686639
2.749999 	 4.702307
2.799999 	 4.717192
2.849998 	 4.731332
2.899998 	 4.744766
2.949998 	 4.757527
2.999998 	 4.769651
3.049998 	 4.781168
3.099998 	 4.792110
3.149998 	 4.802505
3.199998 	 4.812379
3.249998 	 4.821760
3.299998 	 4.830672
3.349998 	 4.839139
3.399998 	 4.847182
3.449998 	 4.854823
3.499998 	 4.862082
3.549998 	 4.868978
3.599998 	 4.875529
3.649998 	 4.881752
3.699998 	 4.887665
3.749998 	 4.893281
3.799998 	 4.898617
3.849998 	 4.903687
3.899997 	 4.908502
3.949997 	 4.913077
3.999997 	 4.917423
4.049997 	 4.921552
4.099998 	 4.925475
4.149998 	 4.929201
4.199998 	 4.932741
4.249998 	 4.936104
4.299998 	 4.939299
4.349998 	 4.942334
4.399999 	 4.945218
4.449999 	 4.947957
4.499999 	 4.950559
4.549999 	 4.953031
4.599999 	 4.955379
4.650000 	 4.957610
4.700000 	 4.959730
4.750000 	 4.961743
4.800000 	 4.963656
4.850000 	 4.965474
4.900001 	 4.967200
4.950001 	 4.968840
5.000001 	 4.970397
